Date,Fragment.ID,Chamber.Channel,Position,Bin.ID,Run,Species,Genotype,Fragment.Number,Sample.Type,Temp.Cat,Start time,Stop Time,Light_Dark,Probe_Spot,Spot_test
20171001,BK2-1_20171001,14,14,2,1,BK,BK,1,Blank,24,12:30,13:29,Light,Spot,
20171001,BK2-1_20171001,14,14,2,1,BK,BK,1,Blank,24,13:47,15:03,Dark,Spot,
20171001,OF1-1_20171001,2,2,1,1,OF,1,1,Sample,24,11:57,12:57,Light,Probe,
20171001,OF2-1_20171001,5,5,1,1,OF,2,1,Sample,24,12:15,13:15,Light,Probe,
20171001,OF3-1_20171001,8,8,1,1,OF,3,1,Sample,24,12:21,13:22,Light,Probe,
20171001,OF4-1_20171001,11,11,1,1,OF,4,1,Sample,24,12:24,13:24,Light,Probe,
20171001,OF1-1-SPOT_20171001,2,2,1,1,OF,1,1,Sample,24,11:57,12:57,Light,Spot,1
20171001,OF1-1_20171001,2,2,1,1,OF,1,1,Sample,24,13:38,14:49,Dark,Probe,
20171001,OF1-1-SPOT_20171001,2,2,1,1,OF,1,1,Sample,24,13:38,14:49,Dark,Spot,1
20171001,OF2-1_20171001,5,5,1,1,OF,2,1,Sample,24,13:44,14:58,Dark,Probe,
20171001,OF3-1_20171001,8,8,1,1,OF,3,1,Sample,24,13:39,14:58,Dark,Probe,
20171001,OF4-1_20171001,11,11,1,1,OF,4,1,Sample,24,13:46,14:49,Dark,Probe,
20171001,BK2-2_20171001,13,13,2,2,BK,2,2,Blank,26,16:11,17:12,Light,Spot,
20171001,BK2-2_20171001,13,13,2,2,BK,2,2,Blank,26,17:31,18:40,Dark,Spot,
20171001,OF2-2_20171001,3,3,1,2,OF,2,2,Sample,26,16:00,17:05,Light,Probe,
20171001,OF4-2_20171001,5,5,1,2,OF,4,2,Sample,26,15:56,16:56,Light,Probe,
20171001,OF3-2_20171001,7,7,1,2,OF,3,2,Sample,26,15:52,16:51,Light,Probe,
20171001,OF1-2_20171001,9,9,1,2,OF,1,2,Sample,26,15:50,16:51,Light,Probe,
20171001,OF2-2_20171001,3,3,1,2,OF,2,2,Sample,26,17:25,18:31,Dark,Probe,
20171001,OF4-2_20171001,5,5,1,2,OF,4,2,Sample,26,17:26,18:27,Dark,Probe,
20171001,OF3-2_20171001,7,7,1,2,OF,3,2,Sample,26,17:21,18:27,Dark,Probe,
20171001,OF1-2_20171001,9,9,1,2,OF,1,2,Sample,26,17:24,18:32,Dark,Probe,
20171003,BK2-6_20171003,14,14,2,6,BK,2,6,Blank,31,10:23,11:24,Light,Spot,
20171003,BK2-6_20171003,14,14,2,6,BK,2,6,Blank,31,11:42,12:45,Dark,Spot,
20171003,OF1-6_20171003,2,2,1,6,OF,1,6,Sample,31,10:19,11:19,Light,Probe,
20171003,OF3-6_20171003,3,3,1,6,OF,3,6,Sample,31,10:06,11:06,Light,Probe,
20171003,OF2-6_20171003,4,4,1,6,OF,2,6,Sample,31,10:13,11:13,Light,Spot,
20171003,OF4-6_20171003,8,8,1,6,OF,4,6,Sample,31,10:17,11:17,Light,Probe,
20171003,OF1-6_20171003,2,2,1,6,OF,1,6,Sample,31,11:32,12:32,Dark,Probe,
20171003,OF3-6_20171003,3,3,1,6,OF,3,6,Sample,31,11:33,12:34,Dark,Probe,
20171003,OF2-6_20171003,4,4,1,6,OF,2,6,Sample,31,11:34,12:35,Dark,Spot,
20171003,OF4-6_20171003,8,8,1,6,OF,4,6,Sample,31,11:36,12:44,Dark,Probe,
20171003,BK2-7_20171003,7,7,1,7,BK,2,7,Blank,27,13:35,14:36,Light,Probe,
20171003,BK1-7_20171003,10,10,1,7,BK,1,7,Blank,27,13:46,14:46,Light,Probe,
20171003,BK2-7_20171003,7,7,1,7,BK,2,7,Blank,27,14:57,15:58,Dark,Probe,
20171003,BK1-7_20171003,10,10,1,7,BK,1,7,Blank,27,15:00,16:00,Dark,Probe,
20171003,OF3-7_20171003,2,2,1,7,OF,3,7,Sample,27,13:31,14:34,Light,Probe,
20171003,OF4-7_20171003,3,3,1,7,OF,4,7,Sample,27,13:32,14:35,Light,Probe,
20171003,OF1-7_20171003,5,5,1,7,OF,1,7,Sample,27,13:40,14:41,Light,Probe,
20171003,OF2-7_20171003,6,6,1,7,OF,2,7,Sample,27,13:48,14:48,Light,Probe,
20171003,OF3-7_20171003,2,2,1,7,OF,3,7,Sample,27,14:53,15:53,Dark,Probe,
20171003,OF4-7_20171003,3,3,1,7,OF,4,7,Sample,27,14:55,15:55,Dark,Probe,
20171003,OF1-7_20171003,5,5,1,7,OF,1,7,Sample,27,14:54,15:54,Dark,Probe,
20171003,OF2-7_20171003,6,6,1,7,OF,2,7,Sample,27,15:03,16:04,Dark,Probe,
20171004,BK1-8_20171004,1,1,1,8,BK,1,8,Blank,34,9:26,10:29,Light,Probe,
20171004,BK2-8_20171004,11,11,1,8,BK,2,8,Blank,34,9:37,10:39,Light,Probe,
20171004,BK1-8_20171004,1,1,1,8,BK,1,8,Blank,34,10:46,11:46,Dark,Probe,
20171004,BK2-8_20171004,11,11,1,8,BK,2,8,Blank,34,11:00,12:01,Dark,Probe,
20171004,OF3-8_20171004,6,6,1,8,OF,3,8,Sample,34,9:31,10:33,Light,Probe,
20171004,OF1-8_20171004,7,7,1,8,OF,1,8,Sample,34,9:34,10:35,Light,Probe,
20171004,OF4-8_20171004,8,8,1,8,OF,4,8,Sample,34,9:35,10:36,Light,Probe,
20171004,OF2-8_20171004,10,10,1,8,OF,2,8,Sample,34,9:37,10:39,Light,Probe,
20171004,OF3-8_20171004,6,6,1,8,OF,3,8,Sample,34,10:54,11:54,Dark,Probe,
20171004,OF1-8_20171004,7,7,1,8,OF,1,8,Sample,34,10:52,11:52,Dark,Probe,
20171004,OF4-8_20171004,8,8,1,8,OF,4,8,Sample,34,10:54,11:55,Dark,Probe,
20171004,OF2-8_20171004,10,10,1,8,OF,2,8,Sample,34,10:57,11:58,Dark,Probe,
20171004,BK2-9_20171004,4,4,1,9,BK,2,9,Blank,32,13:01,14:04,Light,Probe,
20171004,BK1-9_20171004,7,7,1,9,BK,1,9,Blank,32,13:03,14:05,Light,Probe,
20171004,BK2-9_20171004,4,4,1,9,BK,2,9,Blank,32,14:18,15:18,Dark,Probe,
20171004,BK1-9_20171004,7,7,1,9,BK,1,9,Blank,32,14:19,15:19,Dark,Probe,
20171004,OF1-9_20171004,1,1,1,9,OF,1,9,Sample,32,12:59,14:02,Light,Probe,
20171004,OF4-9_20171004,6,6,1,9,OF,4,9,Sample,32,13:04,14:05,Light,Probe,
20171004,OF2-9_20171004,8,8,1,9,OF,2,9,Sample,32,13:05,14:07,Light,Probe,
20171004,OF3-9_20171004,9,9,1,9,OF,3,9,Sample,32,13:05,14:07,Light,Probe,
20171004,OF1-9_20171004,1,1,1,9,OF,1,9,Sample,32,14:14,15:15,Dark,Probe,
20171004,OF4-9_20171004,6,6,1,9,OF,4,9,Sample,32,14:16,15:17,Dark,Probe,
20171004,OF2-9_20171004,8,8,1,9,OF,2,9,Sample,32,14:18,15:20,Dark,Probe,
20171004,OF3-9_20171004,9,9,1,9,OF,3,9,Sample,32,14:21,15:22,Dark,Probe,
20171004,BK2-10_20171004,10,10,1,10,BK,2,10,Blank,29,15:47,16:49,Light,Probe,
20171004,BK1-10_20171004,11,11,1,10,BK,1,10,Blank,29,15:47,16:49,Light,Probe,
20171004,BK2-10_20171004,10,10,1,10,BK,2,10,Blank,29,17:03,18:04,Dark,Probe,
20171004,OF3-10_20171004,1,1,1,10,OF,3,10,Sample,29,15:41,16:41,Light,Probe,
20171004,OF2-10_20171004,2,2,1,10,OF,2,10,Sample,29,15:40,16:41,Light,Probe,
20171004,OF1-10_20171004,3,3,1,10,OF,1,10,Sample,29,15:41,16:43,Light,Probe,
20171004,OF4-10_20171004,9,9,1,10,OF,4,10,Sample,29,15:44,16:45,Light,Probe,
20171004,OF3-10_20171004,1,1,1,10,OF,3,10,Sample,29,16:54,17:55,Dark,Probe,
20171004,OF2-10_20171004,2,2,1,10,OF,2,10,Sample,29,16:56,17:56,Dark,Probe,
20171004,OF1-10_20171004,3,3,1,10,OF,1,10,Sample,29,16:56,17:57,Dark,Probe,
20171004,OF4-10_20171004,9,9,1,10,OF,4,10,Sample,29,16:50,18:00,Dark,Probe,
20171020,BK1-11_20171020,5,5,1,11,BK,1,11,Blank,36,11:07,12:08,Light,Probe,
20171020,BK2-11_20171020,6,6,1,11,BK,2,11,Blank,36,11:11,12:11,Light,Probe,
20171020,BK1-11_20171020,5,5,1,11,BK,1,11,Blank,36,12:29,13:38,Dark,Probe,
20171020,BK2-11_20171020,6,6,1,11,BK,,11,Blank,36,12:30,13:40,Dark,Probe,
20171020,OF1-11_20171020,3,3,1,11,OF,1,11,Sample,36,11:10,12:11,Light,Probe,
20171020,OF4-11_20171020,4,4,1,11,OF,4,11,Sample,36,11:09,12:08,Light,Probe,
20171020,OF3-11_20171020,7,7,1,11,OF,3,11,Sample,36,11:12,12:15,Light,Probe,
20171020,OF2-11_20171020,8,8,1,11,OF,2,11,Sample,36,11:13,12:15,Light,Probe,
20171020,OF1-11_20171020,3,3,1,11,OF,1,11,Sample,36,12:28,13:34,Dark,Probe,
20171020,OF4-11_20171020,4,4,1,11,OF,4,11,Sample,36,12:29,13:35,Dark,Probe,
20171020,OF3-11_20171020,7,7,1,11,OF,3,11,Sample,36,12:32,13:41,Dark,Probe,
20171020,OF2-11_20171020,8,8,1,11,OF,2,11,Sample,36,12:34,13:43,Dark,Probe,
