"","Light_Level","Fragment.ID","Intercept","Âµmol.L.sec","Temp","Date","Sample.ID","Chamber.Channel","Position","Bin.ID","Run","Species","Genotype","Fragment.Number","Sample.Type","Temp.Cat","Chamber.Vol.L","Surf.Area.cm2","Start.time","Stop.Time","Light_Dark","Probe_Spot","Notes","QC","sample.micromol.s","blank.micromol.s","corr.micromol.s","micromol.cm2.s","micromol.cm2.h"
"2",0,"OF2-1_1",201.804505031447,-0.00525861957748752,26.7492191780822,20171001,"OF2-1_20171001",6,6,1,"PI","OF",NA,6,"Sample",27,0.595,7.833,"19:07","19:34","Light","Probe",NA,NA,-0.00312887864860507,-0.00146340111566206,-0.00166547753294302,-0.000212623200937446,-0.765443523374807
"3",0,"OF1-1_1",199.247890845274,-0.00378970907511948,26.8710273972603,20171001,"OF1-1_20171001",5,5,1,"PI","OF",NA,5,"Sample",27,0.6,8.16,"19:07","19:34","Light","Probe",NA,NA,-0.00227382544507168,-0.00146340111566206,-0.000810424329409629,-9.93167070354937e-05,-0.357540145327777
"5",31,"OF2-1_2",194.241056302521,-0.0030848739495798,26.7292407407407,20171001,"OF2-1_20171001",6,6,1,"PI","OF",NA,6,"Sample",27,0.595,7.833,"19:35","19:54","Light","Probe",NA,NA,-0.00183549999999998,-0.000964133907533909,-0.000871366092466072,-0.000111242958313044,-0.400474649926958
"6",31,"OF1-1_2",193.050624939595,-0.00214366505587437,26.8464074074074,20171001,"OF1-1_20171001",5,5,1,"PI","OF",NA,5,"Sample",27,0.6,8.16,"19:35","19:54","Light","Probe",NA,NA,-0.00128619903352462,-0.000964133907533909,-0.000322065125990715,-3.94687654400386e-05,-0.142087555584139
"9",63,"OF2-1_3",191.021549137931,-0.000462931034482673,26.7405,20171001,"OF2-1_20171001",6,6,1,"PI","OF",NA,6,"Sample",27,0.595,7.833,"19:55","20:14","Light","Probe",NA,NA,-0.000275443965517191,-0.000663359629073588,0.000387915663556397,4.95232559117065e-05,0.178283721282143
"10",63,"OF1-1_3",190.503983949097,-0.000254611384783818,26.8577962962963,20171001,"OF1-1_20171001",5,5,1,"PI","OF",NA,5,"Sample",27,0.6,8.16,"19:55","20:14","Light","Probe",NA,NA,-0.000152766830870291,-0.000663359629073588,0.000510592798203297,6.25726468386393e-05,0.225261528619101
"13",104,"OF2-1_4",190.649561915323,0.00166590725806438,26.7503703703704,20171001,"OF2-1_20171001",6,6,1,"PI","OF",NA,6,"Sample",27,0.595,7.833,"20:15","20:34","Light","Probe",NA,NA,0.000991214818548309,-0.000462407323807828,0.00145362214235614,0.000185576681010614,0.668076051638209
"14",104,"OF1-1_4",190.223313888889,0.000424206349206369,26.8622962962963,20171001,"OF1-1_20171001",5,5,1,"PI","OF",NA,5,"Sample",27,0.6,8.16,"20:15","20:34","Light","Probe",NA,NA,0.000254523809523821,-0.000462407323807828,0.000716931133331649,8.78592075161335e-05,0.316293147058081
"19",164,"OF2-1_5",192.792404268908,0.00329191356542616,26.7610476190476,20171001,"OF2-1_20171001",6,6,1,"PI","OF",NA,6,"Sample",27,0.595,7.833,"20:35","20:57","Light","Probe",NA,NA,0.00195868857142857,-0.000300523264235812,0.00225921183566438,0.000288422294863319,1.03832026150795
"20",164,"OF1-1_5",191.665658029557,0.00206512315270932,26.874253968254,20171001,"OF1-1_20171001",5,5,1,"PI","OF",NA,5,"Sample",27,0.6,8.16,"20:35","20:57","Light","Probe",NA,NA,0.00123907389162559,-0.000300523264235812,0.0015395971558614,0.000188676122041839,0.679234039350619
"21",288,"OF2-1_6",197.118839189189,0.00364160739687051,26.7737777777778,20171001,"OF2-1_20171001",6,6,1,"PI","OF",NA,6,"Sample",27,0.595,7.833,"20:58","21:14","Light","Probe",NA,NA,0.00216675640113795,-0.000340863477300514,0.00250761987843847,0.000320135309388289,1.15248711379784
"22",288,"OF1-1_6",194.073312394958,0.00283074229691882,26.8978,20171001,"OF1-1_20171001",5,5,1,"PI","OF",NA,5,"Sample",27,0.6,8.16,"20:58","21:14","Light","Probe",NA,NA,0.00169844537815129,-0.000340863477300514,0.00203930885545181,0.000249915300913212,0.899695083287562
"25",453,"OF2-1_7",200.959402757413,0.00330103950103949,26.7894814814815,20171001,"OF2-1_20171001",6,6,1,"PI","OF",NA,6,"Sample",27,0.595,7.833,"21:15","21:34","Light","Probe",NA,NA,0.0019641185031185,-0.000320884256031026,0.00228500275914952,0.000291714893291143,1.05017361584811
"26",453,"OF1-1_7",196.526584602041,0.00271682653061227,26.9222222222222,20171001,"OF1-1_20171001",5,5,1,"PI","OF",NA,5,"Sample",27,0.6,8.16,"21:15","21:34","Light","Probe",NA,NA,0.00163009591836736,-0.000320884256031026,0.00195098017439839,0.000239090707646861,0.860726547528699
"29",610,"OF2-1_8",205.095564062425,0.00318374069627849,26.8391666666667,20171001,"OF2-1_20171001",6,6,1,"PI","OF",NA,6,"Sample",27,0.595,7.833,"21:35","21:54","Light","Probe",NA,NA,0.0018943257142857,-0.000309122861894177,0.00220344857617988,0.000281303277949685,1.01269180061887
"30",610,"OF1-1_8",199.586356529915,0.00191321367521362,26.994,20171001,"OF1-1_20171001",5,5,1,"PI","OF",NA,5,"Sample",27,0.6,8.16,"21:35","21:54","Light","Probe",NA,NA,0.00114792820512817,-0.000309122861894177,0.00145705106702235,0.000178560179782151,0.642816647215742
"33",747,"OF1-1_9",203.226741648352,0.00179241758241736,27.0765862068966,20171001,"OF1-1_20171001",5,5,1,"PI","OF",NA,5,"Sample",27,0.6,8.16,"21:55","22:15","Light","Probe",NA,NA,0.00107545054945042,-0.00026895432319872,0.00134440487264914,0.000164755499099159,0.593119796756972
"36",747,"OF2-1_9",208.962238378045,0.00315952513105157,26.9221896551724,20171001,"OF2-1_20171001",6,6,1,"PI","OF",NA,6,"Sample",27,0.595,7.833,"21:55","22:15","Light","Probe",NA,NA,0.00187991745297568,-0.00026895432319872,0.0021488717761744,0.00027433573039377,0.987608629417573
