Date,Fragment.ID,Light_Dark,Fragment.ID.Full,Temp.Cat,Volume,pH.mv,Temp.probe,Salinity. In situ,Salinity.TA,TA,Start.TA,Start.Salinity,Start.mv,Start.Temp,Species,Genotype,Start time,Stop Time
20171001,BK1-1,Dark,BK1-1-Dark,24,620,-58.6,23.89,37.2,37.93,2328.03,2330.39,37.96,-59.5,23.33,BK,1,13:50,15:03
20171001,BK1-1,Light,BK1-1-Light,24,610,-59.4,24.29,37.3,37.96,2325.14,2335.986667,37.95,-58.9,23.55,BK,1,12:27,13:29
20171001,BK1-2,Dark,BK1-2-Dark,26,610,-56,25.5,37.3,38.08,2330.93,2336.783333,38.05,-58.3,23.53,BK,1,17:20,18:20
20171001,BK1-2,Light,BK1-2-Light,26,595,-58.1,26.01,37.3,37.79,2326.15,2323.56,37.835,-59.6,25.4,BK,1,16:13,17:12
20171001,BK2-1,Dark,BK2-1-Dark,24,600,-58.7,23.89,37.2,38,2322.51,2330.39,37.96,-59.5,23.33,BK,2,13:47,15:03
20171001,BK2-1,Light,BK2-1-Light,24,610,-59.5,24.23,37.3,37.93,2330.44,2335.986667,37.95,-58.9,23.55,BK,2,12:30,13:29
20171001,BK2-2,Dark,BK2-2-Dark,26,610,-58.7,25.47,37.3,38.05,2337.29,2336.783333,38.05,-58.3,23.53,BK,2,17:31,18:40
20171001,BK2-2,Light,BK2-2-Light,26,590,-58.4,25.85,37.3,37.8,2329.33,2323.56,37.835,-59.6,25.4,BK,2,16:11,17:12
20171001,OF1-1,Dark,OF1-1-Dark,24,595,-56.5,24.05,37.2,38.06,2322.83,2330.39,37.96,-59.5,23.33,OF,1,13:38,14:49
20171001,OF1-1,Light,OF1-1-Light,24,590,-61.9,24.26,37.3,37.96,2316.01,2335.986667,37.95,-58.9,23.55,OF,1,11:57,12:57
20171001,OF1-2,Dark,OF1-2-Dark,26,560,-56.7,25.64,37.3,38,2336.82,2336.783333,38.05,-58.3,23.53,OF,1,17:24,18:32
20171001,OF1-2,Light,OF1-2-Light,26,565,-59,25.84,37.3,37.79,2314.64,2323.56,37.835,-59.6,25.4,OF,1,15:50,16:51
20171001,OF2-1,Dark,OF2-1-Dark,24,565,-56.6,23.97,37.2,37.62,2327.33,2330.39,37.96,-59.5,23.33,OF,2,13:44,14:58
20171001,OF2-1,Light,OF2-1-Light,24,565,-61.2,24.35,37.3,37.92,2311.158,2335.986667,37.95,-58.9,23.55,OF,2,12:15,13:15
20171001,OF2-2,Dark,OF2-2-Dark,26,585,-57.3,25.66,37.3,38.02,2339.67,2336.783333,38.05,-58.3,23.53,OF,2,17:25,18:31
20171001,OF2-2,Light,OF2-2-Light,26,575,-59.3,26,37.3,37.81,2323.147,2323.56,37.835,-59.6,25.4,OF,2,16:00,17:05
20171001,OF3-1,Dark,OF3-1-Dark,24,555,-56.2,24,37.2,37.81,2316.52,2330.39,37.96,-59.5,23.33,OF,3,13:39,14:58
20171001,OF3-1,Light,OF3-1-Light,24,565,-61.8,24.37,37.3,37.94,2313.79,2335.986667,37.95,-58.9,23.55,OF,3,12:21,13:22
20171001,OF3-2,Dark,OF3-2-Dark,26,580,-56,25.67,37.3,38.02,2332.62,2336.783333,38.05,-58.3,23.53,OF,3,17:21,18:27
20171001,OF3-2,Light,OF3-2-Light,26,555,-60.9,25.97,37.3,37.81,2309.25,2323.56,37.835,-59.6,25.4,OF,3,15:52,16:51
20171001,OF4-1,Dark,OF4-1-Dark,24,575,-55.8,24.16,37.2,37.96,2323.59,2330.39,37.96,-59.5,23.33,OF,4,13:46,14:49
20171001,OF4-1,Light,OF4-1-Light,24,580,-61.6,24.5,37.3,37.96,2301.34,2335.986667,37.95,-58.9,23.55,OF,4,12:24,13:24
20171001,OF4-2,Dark,OF4-2-Dark,26,580,-54.9,25.58,37.3,38.04,2322.35,2336.783333,38.05,-58.3,23.53,OF,4,17:26,18:27
20171001,OF4-2,Light,OF4-2-Light,26,575,-61.1,26.09,37.3,37.81,2289.96,2323.56,37.835,-59.6,25.4,OF,4,15:56,16:56
20171003,BK1-6,Dark,BK1-6-Dark,31,605,-56.1,29.67,37.3,37.38,2337.43,2327.36,37.37,-56.2,30.72,BK,1,11:42,12:45
20171003,BK1-6,Light,BK1-6-Light,31,610,-56,29.82,37.3,37.24,2332.85,2319.625,37.25,-56.2,30.5,BK,1,11:31,12:31
20171003,BK1-7,Dark,BK1-7-Dark,27,590,-58.3,26.68,37.06,37.76,2315.97,2317.663333,37.77,-58.3,26.93,BK,1,10:03,11:04
20171003,BK1-7,Light,BK1-7-Light,27,605,-57.6,26.77,37.06,37.61,2325.62,2324.67,37.61,-58.7,26.93,BK,1,15:02,16:02
20171003,BK2-6,Dark,BK2-6-Dark,31,610,-56.1,29.65,37.3,37.64,2332.91,2327.36,37.37,-56.2,30.72,BK,2,11:42,12:45
20171003,BK2-6,Light,BK2-6-Light,31,610,-56,30.05,37.3,37.14,2327.7,2319.625,37.25,-56.2,30.5,BK,2,10:23,11:24
20171003,BK2-7,Dark,BK2-7-Dark,27,595,-57.8,26.68,37.06,37.72,2310.57,2317.663333,37.77,-58.3,26.93,BK,2,15:00,16:00
20171003,BK2-7,Light,BK2-7-Light,27,605,-56.9,26.98,37.06,37.74,2315.76,2324.67,37.61,-58.7,26.93,BK,2,13:46,14:46
20171003,OF1-6,Dark,OF1-6-Dark,31,570,-50.9,29.57,37.3,37.36,2324.98,2327.36,37.37,-56.2,30.72,OF,1,11:32,12:32
20171003,OF1-6,Light,OF1-6-Light,31,565,-61,30.5,37.3,37.21,2292.15,2319.625,37.25,-56.2,30.5,OF,1,10:23,11:24
20171003,OF1-7,Dark,OF1-7-Dark,27,550,-55.9,26.6,37.06,37.71,2319.41,2317.663333,37.77,-58.3,26.93,OF,1,14:57,15:58
20171003,OF1-7,Light,OF1-7-Light,27,550,-59,26.97,37.06,37.7,2267,2324.67,37.61,-58.7,26.93,OF,1,13:35,14:36
20171003,OF2-6,Dark,OF2-6-Dark,31,565,-53.5,29.55,37.3,37.36,2340.24,2327.36,37.37,-56.2,30.72,OF,2,11:34,12:35
20171003,OF2-6,Light,OF2-6-Light,31,575,-58.3,29.85,37.3,37.19,2302.976,2319.625,37.25,-56.2,30.5,OF,2,10:19,11:19
20171003,OF2-7,Dark,OF2-7-Dark,27,555,-54.5,26.85,37.06,37.73,2316.68,2317.663333,37.77,-58.3,26.93,OF,2,14:54,15:54
20171003,OF2-7,Light,OF2-7-Light,27,550,-59.8,26.96,37.06,37.65,2299.441,2324.67,37.61,-58.7,26.93,OF,2,13:40,14:41
20171003,OF3-6,Dark,OF3-6-Dark,31,590,-54.1,29.66,37.3,37.39,2326.32,2327.36,37.37,-56.2,30.72,OF,3,11:33,12:34
20171003,OF3-6,Light,OF3-6-Light,31,585,-58.9,30.02,37.3,37.24,2308.42,2319.625,37.25,-56.2,30.5,OF,3,10:13,11:13
20171003,OF3-7,Dark,OF3-7-Dark,27,575,-54.8,26.5,37.06,37.64,2274.35,2317.663333,37.77,-58.3,26.93,OF,3,15:03,16:04
20171003,OF3-7,Light,OF3-7-Light,27,570,-58.8,26.97,37.06,37.64,2270.42,2324.67,37.61,-58.7,26.93,OF,3,13:48,14:48
20171003,OF4-6,Dark,OF4-6-Dark,31,580,-53,29.7,37.3,37.38,2329.2,2327.36,37.37,-56.2,30.72,OF,4,11:36,12:44
20171003,OF4-6,Light,OF4-6-Light,31,575,-58.5,30.05,37.3,37.28,2293.836,2319.625,37.25,-56.2,30.5,OF,4,10:06,11:06
20171003,OF4-7,Dark,OF4-7-Dark,27,590,-56.5,26.7,37.06,37.71,2306.61,2317.663333,37.77,-58.3,26.93,OF,4,14:53,15:53
20171003,OF4-7,Light,OF4-7-Light,27,580,-58.4,26.99,37.06,37.72,2289.425,2324.67,37.61,-58.7,26.93,OF,4,13:31,14:34
20171004,BK1-10,Dark,BK1-10-Dark,29,610,-56.4,28.04,37.3,37.68,2316.79,2321.653333,37.75,-56.3,29.17,BK,1,13:06,14:09
20171004,BK1-10,Light,BK1-10-Light,29,610,-56.3,28.29,37.3,37.8,2322.94,2323.915,37.74,-56.7,28.6,BK,1,15:47,16:49
20171004,BK1-8,Dark,BK1-8-Dark,34,590,-57.7,31.72,37.4,38.18,2343.715715,2333.632046,38.18,-56.4,33.4,BK,1,13:40,14:41
20171004,BK1-8,Light,BK1-8-Light,34,605,-55.8,31.24,37.4,37.77,2326.501182,2336.14955,37.86,-55.1,33.76,BK,1,10:47,11:48
20171004,BK1-9,Dark,BK1-9-Dark,32,600,-55.2,30.9,37.51,38.07,2323.76,2328.356163,37.86,-55.4,31.55,BK,1,9:27,10:29
20171004,BK1-9,Light,BK1-9-Light,32,610,-55.6,30.64,37.51,37.93,2326,2343.298901,37.98,-55.5,31.61,BK,1,14:20,15:21
20171004,BK2-10,Dark,BK2-10-Dark,29,600,-56.2,28.14,37.3,37.95,2327.81,2321.653333,37.75,-56.3,29.17,BK,2,17:03,18:04
20171004,BK2-10,Light,BK2-10-Light,29,605,-56.2,28.3,37.3,38.09,2347.33,2323.915,37.74,-56.7,28.6,BK,2,15:47,16:49
20171004,BK2-8,Dark,BK2-8-Dark,34,610,-56.3,32.38,37.4,38.14,2339.018397,2333.632046,38.18,-56.4,33.4,BK,2,10:46,11:46
20171004,BK2-8,Light,BK2-8-Light,34,610,-55.6,32.1,37.4,37.87,2338.638026,2336.14955,37.86,-55.1,33.76,BK,2,9:26,10:29
20171004,BK2-9,Dark,BK2-9-Dark,32,610,-55.2,30.98,37.51,37.94,2328.515661,2328.356163,37.86,-55.4,31.55,BK,2,14:19,15:19
20171004,BK2-9,Light,BK2-9-Light,32,610,-55.9,30.43,37.51,37.94,2343.934807,2343.298901,37.98,-55.5,31.61,BK,2,13:03,14:05
20171004,OF1-10,Dark,OF1-10-Dark,29,565,-51.2,27.99,37.3,37.98,2318,2321.653333,37.75,-56.3,29.17,OF,1,16:56,17:57
20171004,OF1-10,Light,OF1-10-Light,29,570,-60.7,28.45,37.3,37.73,2300.3,2323.915,37.74,-56.7,28.6,OF,1,15:41,16:43
20171004,OF1-8,Dark,OF1-8-Dark,34,580,-51.3,32.14,37.4,38.15,2334.478291,2333.632046,38.18,-56.4,33.4,OF,1,11:00,12:01
20171004,OF1-8,Light,OF1-8-Light,34,570,-56.6,32.75,37.4,37.93,2317.136635,2336.14955,37.86,-55.1,33.76,OF,1,9:37,10:39
20171004,OF1-9,Dark,OF1-9-Dark,32,550,-50.8,29.95,37.51,37.84,2332.593306,2328.356163,37.86,-55.4,31.55,OF,1,14:18,15:18
20171004,OF1-9,Light,OF1-9-Light,32,555,-60.9,29.9,37.51,37.93,2303.230743,2343.298901,37.98,-55.5,31.61,OF,1,13:01,14:04
20171004,OF2-10,Dark,OF2-10-Dark,29,595,-55,27.93,37.3,38.02,2318.43,2321.653333,37.75,-56.3,29.17,OF,2,16:56,17:56
20171004,OF2-10,Light,OF2-10-Light,29,585,-58.9,29.23,37.3,38.12,2335.839,2323.915,37.74,-56.7,28.6,OF,2,15:40,16:41
20171004,OF2-8,Dark,OF2-8-Dark,34,545,-52.5,32.53,37.4,38.15,2327.486028,2333.632046,38.18,-56.4,33.4,OF,2,10:52,11:52
20171004,OF2-8,Light,OF2-8-Light,34,535,-55.5,32.17,37.4,38.01,2327.87,2336.14955,37.86,-55.1,33.76,OF,2,9:34,10:35
20171004,OF2-9,Dark,OF2-9-Dark,32,565,-51.7,30.58,37.51,38.1,2326.84,2328.356163,37.86,-55.4,31.55,OF,2,14:14,15:15
20171004,OF2-9,Light,OF2-9-Light,32,560,-57.6,30.6,37.51,37.93,2315.088,2343.298901,37.98,-55.5,31.61,OF,2,12:59,14:02
20171004,OF3-10,Dark,OF3-10-Dark,29,565,-53,27.67,37.3,37.61,2309.84,2321.653333,37.75,-56.3,29.17,OF,3,16:54,17:55
20171004,OF3-10,Light,OF3-10-Light,29,570,-60.2,28.2,37.3,37.73,2288.55,2323.915,37.74,-56.7,28.6,OF,3,15:41,16:41
20171004,OF3-8,Dark,OF3-8-Dark,34,580,-54.8,32.09,37.4,38.15,2331.466291,2333.632046,38.18,-56.4,33.4,OF,3,10:57,11:58
20171004,OF3-8,Light,OF3-8-Light,34,585,-55.3,32.51,37.4,37.97,2319.390348,2336.14955,37.86,-55.1,33.76,OF,3,9:37,10:39
20171004,OF3-9,Dark,OF3-9-Dark,32,570,-52.8,30.32,37.51,37.93,2321.97,2328.356163,37.86,-55.4,31.55,OF,3,14:18,15:20
20171004,OF3-9,Light,OF3-9-Light,32,570,-57.2,30.78,37.51,38.25,2318.550569,2343.298901,37.98,-55.5,31.61,OF,3,13:05,14:07
20171004,OF4-10,Dark,OF4-10-Dark,29,590,-53.8,28.26,37.3,37.64,2313.02,2321.653333,37.75,-56.3,29.17,OF,4,16:50,18:00
20171004,OF4-10,Light,OF4-10-Light,29,580,-58.1,28.52,37.3,37.78,2318.949,2323.915,37.74,-56.7,28.6,OF,4,15:44,16:45
20171004,OF4-8,Dark,OF4-8-Dark,34,585,-53.9,31.92,37.4,38.22,2333.365757,2333.632046,38.18,-56.4,33.4,OF,4,10:54,11:54
20171004,OF4-8,Light,OF4-8-Light,34,585,-55.9,31.89,37.4,37.9,2304.732,2336.14955,37.86,-55.1,33.76,OF,4,9:31,10:33
20171004,OF4-9,Dark,OF4-9-Dark,32,550,-51.8,30.72,37.51,37.88,2325.347361,2328.356163,37.86,-55.4,31.55,OF,4,14:21,15:22
20171004,OF4-9,Light,OF4-9-Light,32,550,-58.4,30.77,37.51,37.9,2300.548,2343.298901,37.98,-55.5,31.61,OF,4,13:05,14:07
20171020,BK1-11,Dark,BK1-11-Dark,36,610,-51.7,33.14,37,38.35,2480.790012,2456.385579,38.21,-51.3,36.25,BK,1,12:29,13:38
20171020,BK1-11,Light,BK1-11-Light,36,615,-53.3,33.01,37,38.23,2460.934536,2448.035603,38.16,-52,36.2,BK,1,11:07,12:08
20171020,BK2-11,Dark,BK2-11-Dark,36,610,-51.7,33.31,37,38.32,2480.599088,2456.385579,38.21,-51.3,36.25,BK,2,12:30,13:40
20171020,BK2-11,Light,BK2-11-Light,36,605,-53.1,33.15,37,38.22,2463.951899,2448.035603,38.16,-52,36.2,BK,2,11:11,12:11
20171020,OF1-11,Dark,OF1-11-Dark,36,550,-48.8,32.42,37,38.34,2528.687006,2456.385579,38.21,-51.3,36.25,OF,1,12:28,13:34
20171020,OF1-11,Light,OF1-11-Light,36,540,-46.9,33.76,37,38.24,2443.742434,2448.035603,38.16,-52,36.2,OF,1,11:10,12:11
20171020,OF2-11,Dark,OF2-11-Dark,36,580,-49.7,33.22,37,38.35,2484.20837,2456.385579,38.21,-51.3,36.25,OF,2,12:34,13:43
20171020,OF2-11,Light,OF2-11-Light,36,575,-50.8,33.15,37,39.26,2455.028,2448.035603,38.16,-52,36.2,OF,2,11:13,12:15
20171020,OF3-11,Dark,OF3-11-Dark,36,595,-50.1,33.22,37,38.4,2486.717677,2456.385579,38.21,-51.3,36.25,OF,3,12:32,13:41
20171020,OF3-11,Light,OF3-11-Light,36,590,-50.5,33.05,37,38.23,2447.014099,2448.035603,38.16,-52,36.2,OF,3,11:12,12:15
20171020,OF4-11,Dark,OF4-11-Dark,36,555,-49.4,32.52,37,38.33,2498.078344,2456.385579,38.21,-51.3,36.25,OF,4,12:29,13:35
20171020,OF4-11,Light,OF4-11-Light,36,550,-50.3,32.88,37,38.26,2439.461,2448.035603,38.16,-52,36.2,OF,4,11:09,12:08
