Date,Fragment.ID.full,Chamber.Channel,Run,Species,Genotype,Fragment.Number,Temp.Cat,Start time,Stop Time,Light_Dark,Fragment.ID
20171128,BK1-1_O2_DARK,2,1,BK,1,1,21,16:09,17:16,Dark,BK1-1
20171128,BK1-1_O2_LIGHT,2,1,BK,1,1,21,15:01,16:09,Light,BK1-1
20171128,BK2-1_O2_DARK,1,1,BK,2,1,22,16:09,17:15,Dark,BK2-1
20171128,BK2-1_O2_LIGHT,1,1,BK,2,1,22,14:41,16:09,Light,BK2-1
20171128,BK1-2_O2_DARK,10,2,BK,1,2,26,19:03,20:06,Dark,BK1-2
20171128,BK1-2_O2_LIGHT,10,2,BK,1,2,26,18:05,19:03,Light,BK1-2
20171128,BK2-2_O2_DARK,6,2,BK,2,2,26,19:02,20:05,Dark,BK2-2
20171128,BK2-2_O2_LIGHT,6,2,BK,2,2,26,18:05,19:02,Light,BK2-2
20171129,BK1-3_O2_DARK,9,3,BK,1,3,34,9:24,10:32,Dark,BK1-3
20171129,BK1-3_O2_LIGHT,9,3,BK,1,3,34,8:21,9:24,Light,BK1-3
20171129,BK2-3_O2_DARK,2,3,BK,2,3,34,9:23,10:31,Dark,BK2-3
20171129,BK2-3_O2_LIGHT,2,3,BK,2,3,34,8:21,9:23,Light,BK2-3
20171129,BK1-4_O2_DARK,10,4,BK,1,4,36,14:08,15:06,Dark,BK1-4
20171129,BK1-4_O2_LIGHT,10,4,BK,1,4,36,12:42,14:08,Light,BK1-4
20171129,BK2-4_O2_DARK,5,4,BK,2,4,36,14:07,15:06,Dark,BK2-4
20171129,BK2-4_O2_LIGHT,5,4,BK,2,4,36,12:41,14:07,Light,BK2-4
20171129,BK1-5_O2_DARK,9,5,BK,1,5,33,17:07,18:26,Dark,BK1-5
20171129,BK1-5_O2_LIGHT,9,5,BK,1,5,33,16:08,17:07,Light,BK1-5
20171129,BK2-5_O2_DARK,4,5,BK,2,5,33,17:07,18:26,Dark,BK2-5
20171129,BK2-5_O2_LIGHT,4,5,BK,2,5,33,16:08,17:07,Light,BK2-5
20171129,BK1-6_O2_DARK,3,6,BK,1,6,32,21:25,22:36,Dark,BK1-6
20171129,BK1-6_O2_LIGHT,3,6,BK,1,6,32,20:25,21:25,Light,BK1-6
20171129,BK2-6_O2_DARK,5,6,BK,2,6,32,21:25,22:36,Dark,BK2-6
20171129,BK2-6_O2_LIGHT,5,6,BK,2,6,32,20:25,21:25,Light,BK2-6
20171130,BK1-7_O2_DARK,9,7,BK,1,7,28,9:19,10:32,Dark,BK1-7
20171130,BK1-7_O2_LIGHT,9,7,BK,1,7,28,8:13,9:19,Light,BK1-7
20171130,BK2-7_O2_DARK,3,7,BK,2,7,28,9:19,10:32,Dark,BK2-7
20171130,BK2-7_O2_LIGHT,3,7,BK,2,7,28,8:13,9:19,Light,BK2-7
20171130,BK1-8_O2_DARK,9,8,BK,1,8,29,12:25,13:29,Dark,BK1-8
20171130,BK1-8_O2_LIGHT,9,8,BK,1,8,29,11:17,12:25,Light,BK1-8
20171130,BK2-8_O2_DARK,5,8,BK,2,8,29,12:25,13:29,Dark,BK2-8
20171130,BK2-8_O2_LIGHT,5,8,BK,2,8,29,11:17,12:25,Light,BK2-8
20171130,BK1-9_O2_DARK,9,9,BK,1,9,30,15:27,16:31,Dark,BK1-9
20171130,BK1-9_O2_LIGHT,9,9,BK,1,9,30,14:08,15:27,Light,BK1-9
20171130,BK2-9_O2_DARK,3,9,BK,2,9,30,15:27,16:31,Dark,BK2-9
20171130,BK2-9_O2_LIGHT,3,9,BK,2,9,30,14:08,15:27,Light,BK2-9
20171130,BK1-10_O2_DARK,8,10,BK,1,10,31,18:29,19:40,Dark,BK1-10
20171130,BK1-10_O2_LIGHT,8,10,BK,1,10,31,17:09,18:29,Light,BK1-10
20171130,BK2-10_O2_DARK,1,10,BK,2,10,31,18:28,19:40,Dark,BK2-10
20171130,BK2-10_O2_LIGHT,1,10,BK,2,10,31,17:09,18:28,Light,BK2-10
20171128,OF1-1_O2_DARK,10,1,OF,1,1,21,16:09,17:16,Dark,OF1-1
20171128,OF1-1_O2_LIGHT,10,1,OF,1,1,21,15:01,16:09,Light,OF1-1
20171128,OF2-1_O2_DARK,3,1,OF,2,1,22,16:09,17:16,Dark,OF2-1
20171128,OF2-1_O2_LIGHT,3,1,OF,2,1,22,15:01,16:09,Light,OF2-1
20171128,OF3-1_O2_DARK,9,1,OF,3,1,21,16:09,17:16,Dark,OF3-1
20171128,OF3-1_O2_LIGHT,9,1,OF,3,1,21,15:01,16:09,Light,OF3-1
20171128,OF4-1_O2_DARK,5,1,OF,4,1,21,16:09,17:16,Dark,OF4-1
20171128,OF4-1_O2_LIGHT,5,1,OF,4,1,21,15:01,16:09,Light,OF4-1
20171128,OF1-2_O2_DARK,8,2,OF,1,2,26,19:03,20:06,Dark,OF1-2
20171128,OF1-2_O2_LIGHT,8,2,OF,1,2,26,18:06,19:03,Light,OF1-2
20171128,OF2-2_O2_DARK,9,2,OF,2,2,26,19:03,20:06,Dark,OF2-2
20171128,OF2-2_O2_LIGHT,9,2,OF,2,2,26,18:06,19:03,Light,OF2-2
20171128,OF3-2_O2_DARK,5,2,OF,3,2,27,19:02,20:05,Dark,OF3-2
20171128,OF3-2_O2_LIGHT,5,2,OF,3,2,27,18:05,19:02,Light,OF3-2
20171128,OF4-2_O2_DARK,2,2,OF,4,2,26,19:02,20:05,Dark,OF4-2
20171128,OF4-2_O2_LIGHT,2,2,OF,4,2,26,18:05,19:02,Light,OF4-2
20171129,OF1-3_O2_DARK,1,3,OF,1,3,34,9:23,10:31,Dark,OF1-3
20171129,OF1-3_O2_LIGHT,1,3,OF,1,3,34,8:21,9:23,Light,OF1-3
20171129,OF2-3_O2_DARK,3,3,OF,2,3,34,9:23,10:32,Dark,OF2-3
20171129,OF2-3_O2_LIGHT,3,3,OF,2,3,34,8:21,9:23,Light,OF2-3
20171129,OF3-3_O2_DARK,7,3,OF,3,3,34,9:23,10:32,Dark,OF3-3
20171129,OF3-3_O2_LIGHT,7,3,OF,3,3,34,8:21,9:23,Light,OF3-3
20171129,OF4-3_O2_DARK,4,3,OF,4,3,34,9:23,10:32,Dark,OF4-3
20171129,OF4-3_O2_LIGHT,4,3,OF,4,3,34,8:21,9:23,Light,OF4-3
20171129,OF1-4_O2_DARK,4,4,OF,1,4,36,14:07,15:06,Dark,OF1-4
20171129,OF1-4_O2_LIGHT,4,4,OF,1,4,36,12:41,14:07,Light,OF1-4
20171129,OF2-4_O2_DARK,6,4,OF,2,4,36,14:07,15:06,Dark,OF2-4
20171129,OF2-4_O2_LIGHT,6,4,OF,2,4,36,12:41,14:07,Light,OF2-4
20171129,OF3-4_O2_DARK,3,4,OF,3,4,36,14:07,15:06,Dark,OF3-4
20171129,OF3-4_O2_LIGHT,3,4,OF,3,4,36,12:41,14:07,Light,OF3-4
20171129,OF4-4_O2_DARK,2,4,OF,4,4,36,14:07,15:06,Dark,OF4-4
20171129,OF4-4_O2_LIGHT,2,4,OF,4,4,36,12:41,14:07,Light,OF4-4
20171129,OF1-5_O2_DARK,7,5,OF,1,5,33,17:07,18:26,Dark,OF1-5
20171129,OF1-5_O2_LIGHT,7,5,OF,1,5,33,16:08,17:07,Light,OF1-5
20171129,OF2-5_O2_DARK,10,5,OF,2,5,33,17:07,18:26,Dark,OF2-5
20171129,OF2-5_O2_LIGHT,10,5,OF,2,5,33,16:08,17:07,Light,OF2-5
20171129,OF3-5_O2_DARK,6,5,OF,3,5,33,17:07,18:26,Dark,OF3-5
20171129,OF3-5_O2_LIGHT,6,5,OF,3,5,33,16:08,17:07,Light,OF3-5
20171129,OF4-5_O2_DARK,1,5,OF,4,5,33,17:06,18:26,Dark,OF4-5
20171129,OF4-5_O2_LIGHT,1,5,OF,4,5,33,16:08,17:06,Light,OF4-5
20171129,OF1-6_O2_DARK,4,6,OF,1,6,32,21:25,22:36,Dark,OF1-6
20171129,OF1-6_O2_LIGHT,4,6,OF,11,6,32,20:25,21:25,Light,OF1-6
20171129,OF2-6_O2_DARK,10,6,OF,2,6,32,21:25,22:36,Dark,OF2-6
20171129,OF2-6_O2_LIGHT,10,6,OF,2,6,32,20:25,21:25,Light,OF2-6
20171129,OF3-6_O2_DARK,1,6,OF,3,6,32,21:25,22:35,Dark,OF3-6
20171129,OF3-6_O2_LIGHT,1,6,OF,3,6,32,20:25,21:25,Light,OF3-6
20171129,OF4-6_O2_DARK,9,6,OF,4,6,32,21:25,22:36,Dark,OF4-6
20171129,OF4-6_O2_LIGHT,9,6,OF,4,6,32,20:25,21:25,Light,OF4-6
20171130,OF1-7_O2_DARK,6,7,OF,1,7,28,9:19,10:32,Dark,OF1-7
20171130,OF1-7_O2_LIGHT,6,7,OF,1,7,28,8:13,9:19,Light,OF1-7
20171130,OF2-7_O2_DARK,5,7,OF,2,7,28,9:19,10:32,Dark,OF2-7
20171130,OF2-7_O2_LIGHT,5,7,OF,2,7,28,8:13,9:19,Light,OF2-7
20171130,OF3-7_O2_DARK,8,7,OF,3,7,28,9:19,10:32,Dark,OF3-7
20171130,OF3-7_O2_LIGHT,8,7,OF,3,7,28,8:13,9:19,Light,OF3-7
20171130,OF4-7_O2_DARK,7,7,OF,4,7,28,9:19,10:32,Dark,OF4-7
20171130,OF4-7_O2_LIGHT,7,7,OF,4,7,28,8:13,9:19,Light,OF4-7
20171130,OF1-8_O2_DARK,4,8,OF,1,8,29,12:25,13:29,Dark,OF1-8
20171130,OF1-8_O2_LIGHT,4,8,OF,1,8,29,11:17,12:25,Light,OF1-8
20171130,OF2-8_O2_DARK,8,8,OF,2,8,29,12:25,13:29,Dark,OF2-8
20171130,OF2-8_O2_LIGHT,8,8,OF,2,8,29,11:17,12:25,Light,OF2-8
20171130,OF3-8_O2_DARK,2,8,OF,3,8,29,12:25,13:29,Dark,OF3-8
20171130,OF3-8_O2_LIGHT,2,8,OF,3,8,29,11:17,12:25,Light,OF3-8
20171130,OF4-8_O2_DARK,10,8,OF,4,8,29,12:25,13:29,Dark,OF4-8
20171130,OF4-8_O2_LIGHT,10,8,OF,4,8,29,11:17,12:25,Light,OF4-8
20171130,OF1-9_O2_DARK,1,9,OF,1,9,30,15:27,16:31,Dark,OF1-9
20171130,OF1-9_O2_LIGHT,1,9,OF,1,9,30,14:08,15:27,Light,OF1-9
20171130,OF2-9_O2_DARK,7,9,OF,2,9,30,15:26,16:31,Dark,OF2-9
20171130,OF2-9_O2_LIGHT,7,9,OF,2,9,30,14:08,15:26,Light,OF2-9
20171130,OF3-9_O2_DARK,6,9,OF,3,9,30,15:26,16:31,Dark,OF3-9
20171130,OF3-9_O2_LIGHT,6,9,OF,3,9,30,14:08,15:26,Light,OF3-9
20171130,OF4-9_O2_DARK,8,9,OF,4,9,30,15:27,16:31,Dark,OF4-9
20171130,OF4-9_O2_LIGHT,8,9,OF,4,9,30,14:08,15:27,Light,OF4-9
20171130,OF1-10_O2_DARK,4,10,OF,1,10,31,18:28,19:40,Dark,OF1-10
20171130,OF1-10_O2_LIGHT,4,10,OF,1,10,31,17:09,18:28,Light,OF1-10
20171130,OF2-10_O2_DARK,3,10,OF,2,10,31,18:28,19:40,Dark,OF2-10
20171130,OF2-10_O2_LIGHT,3,10,OF,2,10,31,17:09,18:28,Light,OF2-10
20171130,OF3-10_O2_DARK,10,10,OF,3,10,31,18:29,19:40,Dark,OF3-10
20171130,OF3-10_O2_LIGHT,10,10,OF,3,10,31,17:09,18:29,Light,OF3-10
20171130,OF4-10_O2_DARK,9,10,OF,4,10,32,18:29,19:40,Dark,OF4-10
20171130,OF4-10_O2_LIGHT,9,10,OF,4,10,32,17:09,18:29,Light,OF4-10
